feature,n,MWU_U,MWU_p,AUC_boot,AUC_CI_lo,AUC_CI_hi,Youden_cut,sens_at_cut,spec_at_cut,MWU_q
nf155_mean_nm,32,4.0,4.972126996290245e-06,0.9831923076923077,0.9352226720647774,1.0,253.19,0.8947368421052632,1.0,1.8231132319730895e-05
nf186_mean_nm,32,4.0,4.972126996290245e-06,0.9830364372469638,0.9352226720647774,1.0,253.19,0.8947368421052632,1.0,2.7346698479596345e-05
duration_months,35,6.5,1.5881983708929691e-06,0.9776704545454545,0.9318181818181819,1.0,1.0,0.9545454545454546,1.0,1.7470182079822662e-05
caspr1_mean_nm,32,15.0,3.41453440582858e-05,0.9385587044534414,0.8299595141700404,1.0,278.06,0.8421052631578947,1.0,7.511975692822876e-05
sas,35,26.0,2.3466099391750105e-05,0.9102386363636362,0.8181818181818181,0.9772727272727273,1.0,0.8181818181818182,1.0,6.453177332731279e-05
nis_ll,35,39.0,0.00011504671320222418,0.8630795454545455,0.7727272727272727,0.9545454545454546,1.0,0.7272727272727273,1.0,0.00021091897420407767
hba1c_pct,35,78.0,0.023715943597352664,0.72475,0.5454545454545454,0.9090909090909091,6.2,0.7272727272727273,1.0,0.028986153285653255
age,35,82.0,0.038731439572642946,0.7147823426573428,0.5122377622377622,0.8951048951048951,54.0,0.9090909090909091,0.5384615384615384,0.04102635013106955
npsi,35,84.5,0.009918721236074542,0.7052727272727273,0.6130681818181819,0.8181818181818181,5.0,0.4090909090909091,1.0,0.01558656194240285
snap_sural_nerve,35,84.5,0.03729668193733595,0.7036818181818183,0.5227272727272727,0.8636363636363636,2.8,0.6363636363636364,1.0,0.038731439572642946
sex,35,85.5,0.012920840459918021,0.6988103146853147,0.5402097902097902,0.8461975524475522,1.0,0.8636363636363636,0.5384615384615384,0.01776615563238728
