feature,n,cohen_d,cliffs_delta,AUC_boot,AUC_lo,AUC_hi
nf155_mean_nm,32,2.088782611364201,-0.9676113360323887,0.9878542510121457,0.9392712550607287,1.0
nf186_mean_nm,32,2.088782611364201,-0.9676113360323887,0.9878542510121457,0.9392712550607287,1.0
caspr1_mean_nm,32,1.6282627380612111,-0.8785425101214575,0.9473684210526315,0.8380566801619433,1.0
sas,35,1.0867773942364063,-0.8181818181818182,0.9090909090909092,0.8181818181818181,0.9772727272727273
nis_ll,35,1.1347409369111472,-0.7272727272727273,0.8636363636363636,0.7727272727272727,0.9545454545454546
hba1c_pct,35,0.9057780561482708,-0.45454545454545453,0.7272727272727273,0.5454545454545454,0.9090909090909091
age,35,0.6539697770272189,-0.42657342657342656,0.7167832167832169,0.5122377622377622,0.8951048951048951
npsi,35,0.7687925617388502,-0.4090909090909091,0.7045454545454546,0.6136363636363636,0.8181818181818181
snap_sural_nerve,35,0.603041546315661,-0.4090909090909091,0.7045454545454546,0.5227272727272727,0.8636363636363636
sex,35,0.9573366265287339,-0.4020979020979021,0.701048951048951,0.5402097902097902,0.8461975524475522
