task,feature,n,MWU_p,MWU_AUC,AUC_boot,AUC_lo,AUC_hi,cut_youden,rule_dir,sens_at_cut,spec_at_cut,perfect_sep,near_sep_5_95
A_anyDM_vs_control,nf155_mean_nm,31,4.528627438573587e-06,0.9914529914529915,0.9957264957264957,0.9615384615384616,1.0,253.19,>=,0.9444444444444444,1.0,False,True
A_anyDM_vs_control,nf186_mean_nm,31,4.528627438573587e-06,0.9914529914529915,0.9957264957264957,0.9615384615384616,1.0,253.19,>=,0.9444444444444444,1.0,False,True
A_anyDM_vs_control,duration_months,36,7.955433785571377e-07,0.9772727272727273,0.9772727272727273,0.9318181818181819,1.0,1.0,>=,0.9545454545454546,1.0,False,True
A_anyDM_vs_control,caspr1_mean_nm,33,3.522727328344556e-05,0.9404761904761905,0.9444444444444445,0.8333333333333333,1.0,278.06,>=,0.8571428571428571,1.0,False,False
A_anyDM_vs_control,ienfd_per_mm,27,0.06552854850346765,0.22727272727272727,0.7818181818181817,0.5454545454545454,0.9545454545454546,-2.67,<=,0.5,1.0,False,False
B_neuropathy_vs_others,nf155_mean_nm,31,0.0002479099727267894,0.8931623931623932,0.8974358974358975,0.7435897435897436,1.0,275.0,>=,1.0,0.8333333333333334,False,False
B_neuropathy_vs_others,nf186_mean_nm,31,0.0002479099727267894,0.8931623931623932,0.8974358974358975,0.7435897435897436,1.0,275.0,>=,1.0,0.8333333333333334,False,False
B_neuropathy_vs_others,caspr1_mean_nm,33,0.00021690670127504877,0.8834586466165414,0.8872180451127819,0.7481203007518797,0.9849624060150376,278.06,>=,0.9285714285714286,0.736842105263158,False,False
B_neuropathy_vs_others,duration_months,36,0.00394993353017759,0.7761904761904762,0.7777777777777778,0.6047222222222222,0.9190873015873015,1.0,>=,0.9333333333333333,0.6666666666666667,False,False
B_neuropathy_vs_others,ienfd_per_mm,27,0.0204429902377122,0.23333333333333334,0.7722222222222223,0.5555555555555556,0.9277777777777778,-2.67,<=,0.6666666666666666,0.9166666666666666,False,False
C_neuropathy_vs_DMonly,ienfd_per_mm,22,0.10485798219764651,0.2761904761904762,0.7333333333333332,0.49523809523809526,0.9333333333333333,-3.03,<=,0.7333333333333333,0.8571428571428572,False,False
C_neuropathy_vs_DMonly,caspr1_mean_nm,21,0.12567386012138293,0.7142857142857143,0.7244897959183674,0.4489795918367347,0.9387755102040817,314.86,>=,0.6428571428571429,0.8571428571428572,False,False
C_neuropathy_vs_DMonly,nf155_mean_nm,18,0.48929015835736234,0.6153846153846154,0.6230769230769231,0.23846153846153842,1.0,308.91,>=,0.8461538461538461,0.6,False,False
C_neuropathy_vs_DMonly,nf186_mean_nm,18,0.48929015835736234,0.6153846153846154,0.6153846153846154,0.23826923076923073,0.9692307692307693,308.91,>=,0.8461538461538461,0.6,False,False
C_neuropathy_vs_DMonly,duration_months,22,0.45869948979463615,0.3952380952380952,0.6095238095238096,0.32857142857142857,0.8476190476190476,-24.0,<=,0.4,0.8571428571428572,False,False
